,ID,LONG,LAT,threshold,beta
0,geo_0,74.5,58.5,0.9,0.09371636328639935
1,geo_0,74.5,58.5,0.95,0.08678325373680126
2,geo_0,74.5,58.5,0.99,0.0403366394932214
3,geo_1,74.5,70.5,0.9,-0.013082678782437603
4,geo_1,74.5,70.5,0.95,-0.0019235462730270315
5,geo_1,74.5,70.5,0.99,0.002871262340560371
6,geo_2,74.5,54.5,0.9,0.059081403102808384
7,geo_2,74.5,54.5,0.95,0.06900592060907693
8,geo_2,74.5,54.5,0.99,0.07055987194350138
9,geo_3,74.5,74.5,0.9,-0.024673170103553566
10,geo_3,74.5,74.5,0.95,-0.01750439831240411
11,geo_3,74.5,74.5,0.99,-0.015872232748518407
12,geo_4,74.5,66.5,0.9,-0.010996584128350974
13,geo_4,74.5,66.5,0.95,-0.015530567350868288
14,geo_4,74.5,66.5,0.99,-0.024351810819824127
15,geo_5,74.5,62.5,0.9,0.025018547218618896
16,geo_5,74.5,62.5,0.95,0.027147753935984963
17,geo_5,74.5,62.5,0.99,0.031146786767201437
18,geo_6,74.5,78.5,0.9,-0.014471888026773672
19,geo_6,74.5,78.5,0.95,-0.00880331270331567
20,geo_6,74.5,78.5,0.99,-0.015169345215168994
21,geo_7,74.5,82.5,0.9,0.0011492403980282629
22,geo_7,74.5,82.5,0.95,0.009449443006372116
23,geo_7,74.5,82.5,0.99,0.0032914360254318598
24,geo_8,74.5,86.5,0.9,0.012148119490442632
25,geo_8,74.5,86.5,0.95,0.022073849654627633
26,geo_8,74.5,86.5,0.99,0.03626789898106744
27,geo_9,74.5,94.5,0.9,0.006545089867730256
28,geo_9,74.5,94.5,0.95,0.004289566056093088
29,geo_9,74.5,94.5,0.99,0.010800726865332346
30,geo_10,74.5,90.5,0.9,0.002296479907622475
31,geo_10,74.5,90.5,0.95,0.0009891329157739118
32,geo_10,74.5,90.5,0.99,8.361029254961433e-05
33,geo_11,74.5,102.5,0.9,-0.0776816650065594
34,geo_11,74.5,102.5,0.95,-0.12215870246935678
35,geo_11,74.5,102.5,0.99,0.16749915563690823
36,geo_12,74.5,98.5,0.9,-0.12058116301166799
37,geo_12,74.5,98.5,0.95,-0.10211496753851158
38,geo_12,74.5,98.5,0.99,-0.06639296679090861
39,geo_20,74.5,142.5,0.9,0.04160132232104705
40,geo_20,74.5,142.5,0.95,0.05608310167476465
41,geo_20,74.5,142.5,0.99,0.09957860899417977
42,geo_22,74.5,138.5,0.9,-0.03848737261130312
43,geo_22,74.5,138.5,0.95,-0.044866978622342554
44,geo_22,74.5,138.5,0.99,-0.03170567316309457
45,geo_23,74.5,150.5,0.9,0.008380053406014866
46,geo_23,74.5,150.5,0.95,0.014978233058114982
47,geo_23,74.5,150.5,0.99,0.030055046475298802
48,geo_24,74.5,146.5,0.9,0.05919457979289914
49,geo_24,74.5,146.5,0.95,0.06865070999975578
50,geo_24,74.5,146.5,0.99,0.06843325093185393
51,geo_25,74.5,154.5,0.9,0.016600009220811274
52,geo_25,74.5,154.5,0.95,0.02242220662465324
53,geo_25,74.5,154.5,0.99,0.03268845181719117
54,geo_26,74.5,158.5,0.9,-0.0033182977741208937
55,geo_26,74.5,158.5,0.95,0.0012717767382861948
56,geo_26,74.5,158.5,0.99,0.006917842806521635
57,geo_27,74.5,166.5,0.9,0.026318161312494415
58,geo_27,74.5,166.5,0.95,0.03120512410035396
59,geo_27,74.5,166.5,0.99,0.06090720728982868
60,geo_28,74.5,162.5,0.9,0.0028675280375238844
61,geo_28,74.5,162.5,0.95,0.010277897023446664
62,geo_28,74.5,162.5,0.99,0.0015040600989748854
63,geo_29,74.5,174.5,0.9,0.05005136381452739
64,geo_29,74.5,174.5,0.95,0.049948181635168676
65,geo_29,74.5,174.5,0.99,0.043157882987100306
66,geo_30,74.5,170.5,0.9,0.046117257099044996
67,geo_30,74.5,170.5,0.95,0.050579581581615116
68,geo_30,74.5,170.5,0.99,0.03947244999841748
69,geo_31,74.5,178.5,0.9,0.020710282504057983
70,geo_31,74.5,178.5,0.95,0.008162609640953073
71,geo_31,74.5,178.5,0.99,-0.0022337551584863946
72,geo_32,74.5,186.5,0.9,0.11922639497462281
73,geo_32,74.5,186.5,0.95,0.1437899597985985
74,geo_32,74.5,186.5,0.99,0.1965037433710372
75,geo_33,74.5,182.5,0.9,0.0017591346932694103
76,geo_33,74.5,182.5,0.95,-0.012523456095368576
77,geo_33,74.5,182.5,0.99,-0.01794749987454701
78,geo_34,74.5,190.5,0.9,0.0883034996916122
79,geo_34,74.5,190.5,0.95,0.1203527849672552
80,geo_34,74.5,190.5,0.99,0.19570007295741504
81,geo_35,74.5,198.5,0.9,0.007896121679771663
82,geo_35,74.5,198.5,0.95,-0.005781075991915402
83,geo_35,74.5,198.5,0.99,-0.04090513911618669
84,geo_36,74.5,194.5,0.9,0.06232332639196652
85,geo_36,74.5,194.5,0.95,0.07799749180013758
86,geo_36,74.5,194.5,0.99,0.10007423891482857
87,geo_37,74.5,202.5,0.9,0.06308012406193926
88,geo_37,74.5,202.5,0.95,0.061942623475004
89,geo_37,74.5,202.5,0.99,0.049111322689915755
90,geo_38,74.5,206.5,0.9,0.09773104174393106
91,geo_38,74.5,206.5,0.95,0.11640835671778559
92,geo_38,74.5,206.5,0.99,0.16739618373603368
93,geo_39,74.5,210.5,0.9,0.2603536028287253
94,geo_39,74.5,210.5,0.95,0.2864506679277917
95,geo_39,74.5,210.5,0.99,0.30882963332611635
96,geo_40,74.5,214.5,0.9,0.27265115735414014
97,geo_40,74.5,214.5,0.95,0.29347271143608167
98,geo_40,74.5,214.5,0.99,0.33310402923120297
99,geo_41,74.5,218.5,0.9,0.031848783855353516
100,geo_41,74.5,218.5,0.95,0.14200451327306104
101,geo_41,74.5,218.5,0.99,0.20806167281369858
102,geo_42,74.5,222.5,0.9,-0.0961177900909587
103,geo_42,74.5,222.5,0.95,0.009210281827028058
104,geo_42,74.5,222.5,0.99,-0.0038834413489972075
105,geo_43,74.5,226.5,0.9,-0.10314227820789618
106,geo_43,74.5,226.5,0.95,-0.04407688163808782
107,geo_43,74.5,226.5,0.99,-0.005810232500347623
108,geo_44,74.5,230.5,0.9,-0.1910857525081082
109,geo_44,74.5,230.5,0.95,-0.24073443291320903
110,geo_44,74.5,230.5,0.99,-0.4539316939121669
111,geo_45,74.5,234.5,0.9,0.7492299021637184
112,geo_45,74.5,234.5,0.95,0.48012004918244156
113,geo_47,74.5,242.5,0.9,-0.13168018993707983
114,geo_47,74.5,242.5,0.95,-0.1710926043297378
115,geo_47,74.5,242.5,0.99,-0.2265655056225187
116,geo_48,74.5,246.5,0.9,-0.09033188207067439
117,geo_48,74.5,246.5,0.95,-0.08563745855679358
118,geo_48,74.5,246.5,0.99,-0.08423985452697764
119,geo_49,74.5,250.5,0.9,0.017148350213104478
120,geo_49,74.5,250.5,0.95,-0.001624711766477098
121,geo_49,74.5,250.5,0.99,-0.023461712007121778
122,geo_50,74.5,254.5,0.9,-0.14498336593978836
123,geo_50,74.5,254.5,0.95,-0.019550050684749243
124,geo_50,74.5,254.5,0.99,0.1587561309271482
125,geo_61,78.5,54.5,0.9,0.027813949848410652
126,geo_61,78.5,54.5,0.95,0.019338780130563962
127,geo_61,78.5,54.5,0.99,0.07159157818498296
128,geo_62,78.5,58.5,0.9,0.03813924412694802
129,geo_62,78.5,58.5,0.95,0.022417026744972347
130,geo_62,78.5,58.5,0.99,-0.0036616867696559322
131,geo_63,78.5,62.5,0.9,-0.02325681596452908
132,geo_63,78.5,62.5,0.95,-0.02350645684056353
133,geo_63,78.5,62.5,0.99,0.000818045885204538
134,geo_64,78.5,66.5,0.9,-0.06552905289071709
135,geo_64,78.5,66.5,0.95,-0.05597376932816602
136,geo_64,78.5,66.5,0.99,-0.05811101784970335
137,geo_65,78.5,70.5,0.9,-0.03181634957760205
138,geo_65,78.5,70.5,0.95,-0.030277628746061783
139,geo_65,78.5,70.5,0.99,-0.03591723957205438
140,geo_66,78.5,74.5,0.9,-0.03822321307555509
141,geo_66,78.5,74.5,0.95,-0.016080091916644088
142,geo_66,78.5,74.5,0.99,0.056528024225838275
143,geo_67,78.5,78.5,0.9,-0.047479449889728076
144,geo_67,78.5,78.5,0.95,-0.03721489524707481
145,geo_67,78.5,78.5,0.99,0.00949566278230333
146,geo_68,78.5,82.5,0.9,-0.015845704116022256
147,geo_68,78.5,82.5,0.95,0.009323566915712218
148,geo_68,78.5,82.5,0.99,0.05420187416616437
149,geo_69,78.5,86.5,0.9,0.011971890156411806
150,geo_69,78.5,86.5,0.95,0.013896091812489455
151,geo_69,78.5,86.5,0.99,0.04625128087093495
152,geo_70,78.5,90.5,0.9,0.003694022259112949
153,geo_70,78.5,90.5,0.95,-0.0026060105208387564
154,geo_70,78.5,90.5,0.99,-0.0008920985293566844
155,geo_71,78.5,94.5,0.9,0.029141499611798793
156,geo_71,78.5,94.5,0.95,0.031928328642367304
157,geo_71,78.5,94.5,0.99,0.009276131211446659
158,geo_72,78.5,98.5,0.9,0.007528458524820328
159,geo_72,78.5,98.5,0.95,0.008597428252605923
160,geo_72,78.5,98.5,0.99,0.00920861121287335
161,geo_73,78.5,102.5,0.9,-0.08595842374052291
162,geo_73,78.5,102.5,0.95,-0.05769799616944019
163,geo_73,78.5,102.5,0.99,-0.05143353276109998
164,geo_74,78.5,106.5,0.9,-0.009588422318993236
165,geo_74,78.5,106.5,0.95,-0.019091974214028376
166,geo_74,78.5,106.5,0.99,-0.05214146637172279
167,geo_75,78.5,110.5,0.9,-0.6673787346978666
168,geo_75,78.5,110.5,0.95,0.10545978490112606
169,geo_76,78.5,114.5,0.9,-0.4782790847797444
170,geo_77,78.5,122.5,0.9,0.03574393929553232
171,geo_77,78.5,122.5,0.95,0.15479895059128054
172,geo_78,78.5,118.5,0.9,0.17976223386926563
173,geo_79,78.5,126.5,0.9,-0.57553434465902
174,geo_79,78.5,126.5,0.95,-0.7473671992188013
175,geo_80,78.5,130.5,0.9,2.211726308790289
176,geo_80,78.5,130.5,0.95,0.12999194984295578
177,geo_81,78.5,134.5,0.9,-0.0031294908720322333
178,geo_81,78.5,134.5,0.95,-0.01576894445291318
179,geo_81,78.5,134.5,0.99,-0.10033726549569778
180,geo_82,78.5,138.5,0.9,-0.05603729188835625
